id,Literal,y_category
996,trombofilia,D
997,contusión pulmonar,S
998,Insuficiencia renal crónica,N
999,hemorrágia post parto,O
1000,Extraccion manual de placenta,1
1001,catéter tunelizado vena yugular izquierda,0
1002,salpinguectomía,6
1003,siringomielia,G
1004,LEGRADO,1
1005,invaginación intestinal,K
1006,Tabaco,F
1007,nerviosismo,F
1008,analgésico,3
1009,Hipertensión Insuficiencia cardíca,I
1010,Gammapatia monoclonal,D
1011,ageusia,R
1012,CARCINOMA LOBULAR IN SITU DE MAMA IZQUIERDA,C
1013,historia IAM,I
1014,CARÈNCIA DE VITAMINA D,E
1015,Ex- fumadora,Z
1016,deportivo,E
1017,legrado obstetrico,1
1018,tabaco parto,F
1019,Historia de hipertiroidismo,Z
1020,DISCECTOMÍA L4-L5,0
1021,GSRh O positivo,Z
1022,Ooforectomia derecha,Z
1023,hipotiroidisme anteparto,6
1024,portador Pseudomonas,Z
1025,uropatía obstructiva,N
1026,Gota,3
1027,Alergia a contrastes yodados,Z
1028,Dacriocistorinostomia izq,0
1029,eventracion,5
1030,Fractura 4 partes húmero proximal derecho,S
1031,Esofagogastroscopia,0
1032,dolor perineal posparto,O
1033,Tuberculosis secuelas,V
1034,Liomioma uterí subserós,D
1035,ALERGICA A DOXICICLINA,Z
1036,crisis comicial,G
1037,PTR IZQDA,Z
1038,ABORTADORA HABITUAL,Z
1039,Pneumonia,J
1040,Alergia a piperacilina,Z
1041,Rinitis alérgica polen,J
1042,Macrocefalia,Q
1043,Trastorno dístimico,F
1044,Quiste cortical,N
1045,Legrado obstetrico,1
1046,Amoxiclina,3
1047,Celiaquia parto,K
1048,hematies,9
1049,Ansiedad Generalizada part,O
1050,FRACTURA SUBCAPITAL FEMUR IZQUIERDO,S
1051,Anemia ferropenica,D
1052,alergia a AINEs,Z
1053,Migrañas parto,O
1054,Vitíligo part,O
1055,úlceras sacras grado II,L
1056,cardiopatia isquémica crónica,I
1057,Desgarro 1 grado,0
1058,BAG hepática,0
1059,hiperparatiroidismo secundario,E
1060,carcinoma lobulillar infiltrante,8
1061,anexectomía bilateral,6
1062,HERNIA DE HIATO,K
1063,Antibioterapia intravenosa,3
1064,CAÍDA,T
1065,síndrome constitucional,R
1066,Cataratas,H
1067,rinitis alérgica parto,O
1068,obesidad parto,Z
1069,hta IRC icc,I
1070,Hipotiroidismo secundario a Tiroidectomia,E
1071,Migraña con aura,G
1072,neoplasia de mama esquerre,C
1073,síndrome febril,R
1074,itu anteparto,6
1075,MIOMA utero,D
1076,DGA part,O
1077,V13.59,Z
1078,Anexectomia Bilateral Laparoscopia,0
1079,nefrostomia izquierda,0
1080,GS: 0+,Z
1081,Meralgia parestesica,G
1082,amikacina,3
1083,ARTRITIS REUMATOIDE,M
1084,ILE por T21,O
1085,Pell atòpica,O
1086,Ecoli,B
1087,Nefroureterectomía izquierda,Z
1088,Hipermetropía,H
1089,v1279,Z
1090,cervicobraquialgia,M
1091,Desgarro IIIC,0
1092,broncoespasmo,J
1093,Fumadora puerperio,O
1094,30+4 semanas,Z
1095,microhematuria,N
1096,celiaca parto,K
1097,Cesárea anterior,O
1098,endometriosis del tabique rectovaginal,N
1099,Fractura de radio distal izquierdo,S
1100,síndrome antifosfolípido parto,O
1101,LINFADENECTOMIA PÉLVICA,0
1102,DM tipus 1,2
1103,: 0 POSITIVO,Z
1104,CORDÓN CORTO parto,O
1105,ILE) por trisomía 21,Z
1106,Condiloma,8
1107,: O positivo,Z
1108,Biopsia pulmonar cerrada,0
1109,pseudomona,B
1110,Miopia magna parto,H
1111,leucoencefalopatía isquémica crónica,I
1112,urticaria,R
1113,Asma part,O
1114,Sigmoidectomía,0
1115,Infección de orina,N
1116,Utero bicorne,Q
1117,cistectomía radical lap,0
1118,desgarro IIIa,O
1119,primigravida anteparto,6
1120,Osteoartropatía degenerativa,M
1121,h fractura,V
1122,aborto diferido,O
1123,omentectomía,0
1124,Obesidad mórbida part,E
1125,pna posparto,6
1126,Anemia 2,D
1127,bronquiectasias,4
1128,derrame articular rodilla,M
1129,Exéresis piel cuero cabelludo,0
1130,craneotomía y extirpacion,8
1131,PODALICA,R
1132,quiste dermoide ovario izquierdpo,N
1133,bocio,E
1134,Anexectomía bilateral,0
1135,Hiperemesis gravídica,O
1136,c775,C
1137,n mama,1
1138,tumorectomía mama izquierda,0
1139,anemia mixta,D
1140,prótesis mecánica mitral,Z
1141,Antibioticoterápia,3
1142,obesidad,E
1143,0017,O
1144,SEPTOPLASTIA,0
1145,41semanas,Z
1146,intolerancia a la lactosa part,O
1147,seroalbúmina,3
1148,Hiperparatiroidismo secundario,E
1149,": 0 , Rh: Positivo",Z
1150,desgarro I,O
1151,Cirrosis biliar primaria,K
1152,Duplicitat renal,N
1153,Broncodilatadores,3
1154,ANTIINFLAMATORIO,3
1155,INFECCIÓN DE HERIDA QUIRÚRGICA,T
1156,VULVECTOMÍA SIMPLE,0
1157,Colitis Ulcerosa part,K
1158,FRACTURA TRIMALEOLAR DE TOBILLO IZQUIERDO,S
1159,H RNPT,V
1160,cefalea,R
1161,Hipotiroidismo part,O
1162,Historia de Quimitoerapia,Z
1163,Útero polimiomatoso,D
1164,hemorroides internas,K
1165,enol esporadico,F
1166,dehiscencia ferida ext,9
1167,BRUE,R
1168,Hematíes,9
1169,Prolapso total,N
1170,endometritis,N
1171,Desgarro de II,O
1172,anafilaxia,R
1173,déficit de vitamina D,E
1174,38.5 semanas,Z
1175,derrame pleural maligno,J
1176,Abuela materna cáncer de mama,Z
1177,ceserea,1
1178,Hipotiroidismo secundario a tiroidectomía,E
1179,Retraso cognitivo,F
1180,RE positivo,V
1181,versión cefàlica externa,O
1182,hipotiroidismo PARTO,O
1183,ECO abdominal,8
1184,hemofilia B parto,D
1185,Trasplante renal,Z
1186,TEGD,B
1187,beta talassemia parto,D
1188,Fx subtrocanterea femur izquierdo,S
1189,atrofia renal,N
1190,hipotiroidismo subclínico,E
1191,Polimialgia reumática,M
1192,acenocumarol,V
1193,A postitivo,Z
1194,Miopía,H
1195,Absceso mamario izquierdo,N
1196,eco obs,8
1197,Rx clavícula izq,B
1198,NEFRECTOMÍA RADICAL LAPAROSCÓPICA DERECHA,0
1199,Diabetes gestacional part,O
1200,HTDA,Z
1201,Cistadenoma mucinoso,8
1202,alfa talasemia parto,O
1203,enfermedad renal crónica,N
1204,recambio de Expansor mama,8
1205,Tc abdominal,B
1206,Rubéola: no inmune,O
1207,part,6
1208,Amenza de parto prematuro,O
1209,Vía venosa periférica,0
1210,LINFADENECTOMIA PARAAORTICA,0
1211,G40.001,G
1212,Diebetes,E
1213,hipotirodismo part,O
1214,SG: 38+3,Z
1215,SÍNDROME ANSIOSO-DEPRESIVO,F
1216,Rinitis Alergica parto,J
1217,compresión esofágica,5
1218,INSUFICIENCIA RENAL CRONICA,N
1219,Neoplasia oclusiva de ángulo esplénico,C
1220,Ex enolismo,F
1221,linfadenectomia AXILAR,4
1222,Grupo sanguíneo:A positivo,Z
1223,mtx ganglio abdominal,1
1224,40 +0 sg,Z
1225,resección transuretral de próstata,0
1226,Colpoplastia anterior,0
1227,Desgarro IIIa,0
1228,DISFONIA,7
1229,Dolor pélvico,N
1230,historia Parto pretérmino,O
1231,retención placentaria,O
1232,insuficiencia cardíaca de predominio izquierdo,I
1233,Cuerpo extraño CAE,9
1234,quemadura 3 muslo derecho,0
1235,Demencia tipo Alzheimer,G
1236,Biopsia esofagica,4
1237,hepatitis B part,O
1238,Obesidad (,E
1239,asma parto,O
1240,SAHoS,3
1241,CCHH,3
1242,Cavernoma cerebral,D
1243,divertículo vesical,N
1244,Neumonia COVID parto,O
1245,cromopertubación,3
1246,hipoglicemias,R
1247,Grupo sanguineo: 0+,Z
1248,via periferica,3
1249,intolerancia oral,R
1250,Bronquiolitis aguda,J
1251,Anemia aguda hemorrágica,D
1252,litiasis renal,N
1253,Litiasis renales,N
1254,marihuana parto,O
1255,tinitus,H
1256,pólipo cervix parto,N
1257,Cistoscopia,5
1258,Hidratación,3
1259,colangioRM,B
1260,PTR d,Z
1261,vive sola,Z
1262,Hematúria macroscòpica,R
1263,Rinitis alérgica parto,O
1264,psoriasis,L
1265,Divertículos,K
1266,659.41,O
1267,Gonartrosis derecha,M
1268,desproporción pélvico-fetal,O
1269,hipotiroidisme parto,E
1270,Estimulación oxitocínica,3
1271,NTP,9
1272,Hernia umbilical parto,O
1273,Nudo verdadero de cordón,O
1274,Cataratas bilateral,H
1275,hipertransaminasemia,R
1276,alivio de expulsivo,O
1277,hiperlaxitud ligamentosa,7
1278,Fusobacterium necrophorum,B
1279,Ulcera duodenal,K
1280,Candida piel,B
1281,disuria,R
1282,ITU sonda vesical,T
1283,Prostatectomia radical,0
1284,Ectasia piélica congenita,Q
1285,demencia parkinson,G
1286,polipo de vesicula biliar,K
1287,ECOtV,B
1288,Vive en Residencia,Z
1289,biopsia del gangli sentinella,4
1290,Rx torácica,B
1291,cólico nefrítico,N
1292,IMC 30,V
1293,acidosi mixta,E
1294,extracción de banda gástrica lap,0
1295,Colecistitis aguda,K
1296,fractura meseta tibial izquierda,S
1297,ductus,Q
1298,pseudomixoma peritoneal,C
1299,celulitis preseptal,L
1300,Hepatitis C part,O
1301,drogas parto,O
1302,angiopatía amiloide,I
1303,Rubeola : NEGATIVO,O
1304,cCHH,3
1305,v1272,Z
1306,anticoagulación,Z
1307,Hipermetropía,H
1308,Restrenyiment,K
1309,estenosi esofàgica,5
1310,Grupo sanguíneo A Rh positivo,Z
1311,Intolerante a la Lactosa parto,E
1312,CESÁREA ANTERIOR,O
1313,fluidoterapia,3
1314,Ruptura prematura de membranas,O
1315,O Rh negativo,Z
1316,Varicel,I
1317,5845,O
1318,CATARATA CORTICAL,C
1319,adenomiosi,6
1320,hiperplasia benigna de próstata,N
1321,Restrenyiment crònic,K
1322,Ecografías,8
1323,aborto tardio,O
1324,Fumdora,F
1325,Bloqueo AV de primer grado,I
1326,Espondiloartrosis,M
1327,vía púbilca,N
1328,hipogammaglobulinemia,D
1329,ooforectomia derecha,Z
1330,VULVECTOMÍA PARCIAL,0
1331,Fractura peroné distal izquierdo,S
1332,Carcinoma epidermoide de cérvix,C
1333,déficit de proteína C,D
1334,TUMORACIÓN,8
1335,Infección del tracto urinario,N
1336,Deshidratación hipernatrémica,E
1337,NST sospechoso,O
1338,A Rh negativo,Z
1339,síndrome de Marfan,Q
1340,quiste cortical renal,N
1341,Madden Izquierdo,0
1342,corticoterapia,3
1343,dilatación aórta ascendente,I
1344,Hipotension ortostatica,I
1345,Enfermedad indiferenciada del tejido conectivo,M
1346,candida vaginal,0
1347,Cólico nefrítico derecho,N
1348,Sd ansioso,F
1349,oxitòcica,3
1350,88.45,I
1351,Rinoconjuntivitis alergia,H
1352,Talasemia minor parto,D
1353,Colitis ulcerosa part,O
1354,Barrera idiomàtica total,Z
1355,Vasculopatía periférica,I
1356,anti D,O
1357,ALERGIAS: SERACTIL,Z
1358,Microlitiasis renal,N
1359,ca mama bilateral,C
1360,ANEXECTOMÍA BILATERAL LAP,0
1361,paratiroidectomía izquierda,0
1362,lca rodilla derecha,0
1363,CARCINOMA INVASIVO,8
1364,Cirugia bariatrica,2
1365,Polineuropatía dm,G
1366,legrado obst,1
1367,Grupo sanguíneo materno: A Positivo,Z
1368,limfopenia,D
1369,Alergia a voltaren,Z
1370,Síndrome de Rett,G
1371,anexectomía bilateral laparoscópica,6
1372,biòpsia de gangli,4
1373,Papiloma mama derecha,D
1374,marcapasos VVI 1,0
1375,infeccion herida quirurgica,T
1376,Transplantada renal,Z
1377,v1365,Z
1378,Retinopatia diabetica,E
1379,Neoplasia de colon historia,V
1380,Síndrome ansioso-depresico,F
1381,ABSCESO LABIO MAYOR,N
1382,adenocarcinoma de ovario,C
1383,Gammagrafía ósea,9
1384,Radiografía de cráneo,B
1385,itu puerperal,O
1386,pna 3t,B
1387,GS: A Rh +,Z
1388,Wolff Parkinson White,G
1389,HTPulmonar,I
1390,protesis mamas,Z
1391,Carcinomatosis,8
1392,cistitis,5
1393,27 sem,Z
1394,pti parto,6
1395,fibrinógeno,3
1396,hipotiroidismo 2t,O
1397,Transfusión de 3 CCHH,3
1398,ALERGIA AC. ACETILSALICÍLICO,V
1399,PFC,3
1400,Manchester,0
1401,Antibiótico,3
1402,insuficienciarespiratoria hipercapnica crónica,5
1403,sutura clítoris,0
1404,Neo mama h,1
1405,hipotermia,3
1406,perforación timpánica,3
1407,Escherichia coli,B
1408,Adenocarcinoma de Endometrio,C
1409,fractura pilón tibial derecho,S
1410,Déficit Vit D part,O
1411,consumo crónico de alcohol,F
1412,Linfadenectomía paraaórtica,4
1413,Anemia part,D
1414,sindrome de brugada,G
1415,eco doppler tsa,B
1416,itu parto,N
1417,Rotura prematura de membranas,O
1418,HISTERECTOMIA TOTAL LAPAROSCÓPICA,0
1419,no progresión de parto,O
1420,obesitat parto,O
1421,Cushing,2
1422,Sondaje vesical permanente,0
1423,Dermatitis seborreica,L
1424,varices esofagicas,I
1425,CPAP,Z
1426,Clindamicina,3
1427,Fibrilación auricular,I
1428,Fosfomicina,3
1429,miomas intramurales parto,D
1430,33+6 semanas,Z
1431,balon de Bakri,0
1432,FÍSTULA URETRAL,N
1433,Hipotiroïdisme,E
1434,Osteopènia,7
1435,Apendicectomía,4
1436,ITU por E.coli,B
1437,Neuritis òptica,H
1438,rge parto,O
1439,absceso mama,N
1440,sng rn,V
1441,prostatectomía radical laparoscópica asistida por robot,0
1442,neumonectomia,V
1443,anti-D.,O
1444,hipotiroidismo part,O
1445,NEOPLASIA DE MAMA IZQUIERDA,C
1446,Hidrosadenitis supurativa,N
1447,Salpinguectomía Bilateral,0
1448,CSI,0
1449,HIPOFOSFATEMIA,7
1450,Colonoscopia biopsia,0
1451,Mioma subseroso parto,D
1452,aminiocentesis,1
1453,fre lingual,0
1454,Varón,Z
1455,40 SG,Z
1456,hiponatermia,3
1457,vasculopatía diabetica 2,E
1458,trisomía,O
1459,CPAP,Z
1460,historia familiar neoplasia colon,Z
1461,Historia de anastomosis,Z
1462,dicopatia lumbar,M
1463,CANCER DE MAMA bilateral,C
1464,implantes peritoneales,1
1465,G40.409,G
1466,LTB 2,0
1467,Alergia a melocotón,Z
1468,antibiótico iv,3
1469,Pielonefritis aguda por E Coli,B
1470,Staphylococcus lugdunensis,B
1471,ch enolica,F
1472,B27.90,B
1473,hta irc,I
1474,amilodosis renal,N
1475,ESTENOSIS AÓRTICA congenit,I
1476,Arritimia ventricular,I
1477,Dermatitis eccematosa,L
1478,TLP,F
1479,estancamiento pondoestatural,R
1480,obesidad parto,Z
1481,hemiparesia izquierda,G
1482,Enfermedad de Crohn,K
1483,FIBROMATOSIS DE FASCIA PLANTAR,M
1484,LEIOMIOMA,8
1485,Bricker,V
1486,XARELTO,O
1487,ALÉRGICA A PENICILINAS,Z
1488,EPILEPSIA,G
1489,multigravida,6
1490,DOLOR EXTREMIDADES,R
1491,HEMOCROMATOSIS,D
1492,celiaquía parto,K
1493,desprendimiento prematuro de placenta,O
1494,historia TBC,Z
1495,Prematuridad 1500,P
1496,degeneración lumbosacra,M
1497,Urticaria topica,L
1498,metástasis pulmonares,C
1499,Escoliosis,M
1500,Neutropenia autoinmune,D
1501,Nódulo pulmonar solitario,J
1502,Colección pared abdominal,K
1503,IPLV,6
1504,Grupo sanguíneo: A +,Z
1505,"0, Rh: Positivo",Z
1506,Epidermiolisis bullosa,L
1507,fumadora parto,O
1508,Desgarro III,O
1509,GS materno B+,Z
1510,obesidad parto,Z
1511,ansioso depresivo,F
1512,miomas,D
1513,Cardiopatía isquémico,4
1514,C67.9,C
1515,SALPINGUECTOMÍA IZQUIERDA LAPAROSCOPIA,0
1516,No progresión de parto,O
1517,Grupo sanguíneo 0 negativo,Z
1518,HTA ERC 3,I
1519,Hemangiomas,9
1520,HISTERECTOMÍA lap,0
1521,acidosis perinatal,O
1522,DUPLICIDAD RENAL,N
1523,WPW parto,O
1524,Alergia a contrastes yodados,Z
1525,GRUPO SANGUINEO A,Z
1526,Infección respiratoria de vías altas,J
1527,mastectomía derecha,0
1528,Apendicectomñia laparoscópica,0
1529,retinopatía diabetica 2,E
1530,biopsia duodeno,4
1531,cardiopatia isquèmica,I
1532,Astigmatismo,H
1533,Anexectomía derecha,0
1534,Migraña sin aura parto,G
1535,o3432,O
1536,arritmias,I
1537,omeprazol,3
1538,apendicectomia incidenta,4
1539,Reflujo Gastroesofágico,5
1540,oxitócica,3
1541,MASTECTOMIA IZDA,0
1542,IG,3
1543,amputacion supracondilea derecha,0
1544,Mioma intramural part,D
1545,hta irc 6,N
1546,Fibrilación auricular permanente,I
1547,Caída,E
1548,ANTI-D,3
1549,Extrasistoles ventriculares,I
1550,Madre Rh negativo,Z
1551,Taquicardias,I
1552,AdenoAmigdalectomía,2
1553,Vejiga Neurogena,5
1554,DIABETES GESTACIONAL dieta,O
1555,Secundípara,O
1556,Exéresis quiste ovárico lap,6
1557,Hiperparatiroidismo secundario a déficit de vit D,E
1558,inducció,O
1559,Anèmia ferropènica,2
1560,hernia discal lumbar,M
1561,caída de altura,Y
1562,Desgarro Iº :,O
1563,Prevotella bivia,B
1564,M1 ósea,1
1565,neo mama izquierda,C
1566,Situación transversa,O
1567,migrañas parto,O
1568,transaminitis,R
1569,cuerpo extraño esofago,9
1570,Prótesis total de rodilla izquierda,Z
1571,Enfermedad de Crohn,K
1572,Ligadura tubárica bilateral,Z
1573,mastectomia bilateral,8
1574,Adenocarcinoma endometrial,C
1575,Síndrome de piernas inquietas,G
1576,Eritema nodoso part,L
1577,"Grupo sanguíneo materno: A, Rh: Positivo",Z
1578,quiste ovario izq,N
1579,rehidratación,3
1580,Ateromatosis calcificada,I
1581,fecalomas,K
1582,Convulsiones febriles simples,R
1583,Trastorno Ansiedad Generalizada,F
1584,prurigo,L
1585,laringuectomia,V
1586,IMC 35,V
1587,Desbridamiento muslo derecho,0
1588,amniocentesis,1
1589,Bronquiectasias,J
1590,dermatitis atopica parto,L
1591,PÉRDIDA DE BIENESTAR FETAL,O
1592,42 semanas,Z
1593,Miopía,H
1594,A. reumatoide,M
1595,Alergia aspirina,Z
1596,20 semanas,Z
1597,prótesis cadera,Z
1598,Anexectomía izquierda,0
1599,PORTADOR DE ESTREPTOCOCO GRUPO B,Z
1600,deformidad dentofacial,7
1601,ECO-ABDOMINAL,B
1602,Punción folicular,0
1603,Desgarro perineal de 1º grado,O
1604,Adenitis mesentérica,K
1605,Ateromatosis calcificada aortoilíaca,I
1606,hepaticas,5
1607,sangrado uterino anómalo,N
1608,N06.0,N
1609,HPV parto,B
1610,adenopatía supraclavicular,R
1611,anexectomía bilateral lap,6
1612,engrosamiento endometrial,N
1613,IAM hsitoria,4
1614,COLECISTECTOMIA LAPARASCÓPICA,0
1615,Hashimoto part,E
1616,amputación supracondilea izquierda,0
1617,polipo cervix parto,N
1618,Hipertensión Insuficiencia cardíaca,I
1619,Tc de Craneo,B
1620,41 setmanes,Z
1621,Policitemia vera,D
1622,Amniorexis,7
1623,PROLAPSO ÚTERO,O
1624,Exantema viral,B
1625,Síndrome emético,R
1626,linfangioma quístico en apex pulmonar derecho,D
1627,Aguas TEÑIDAS,E
1628,ADHESIOLISIS,3
1629,Neoplasia endometrial,C
1630,atrofia Vagina,N
1631,Cesárea rn,P
1632,40 + 4 SG,Z
1633,ne sng,3
1634,Fibromialgia part,O
1635,Neumonia,J
1636,Fracaso de Inducción,O
1637,Problema social grave,Z
1638,histerectomia,6
1639,Historia de AIT,Z
1640,biopsia Colon transverso,0
1641,desgarro vaginal grado I,O
1642,Nefroureterectomia derecha,Z
1643,disúria,6
1644,ALERGIA AINES,Z
1645,Epilepsia generalizada,G
1646,utero septo,Q
1647,Colelitiasi,K
1648,Lesión vesical,N
1649,íleo paralítico postquirurgico,5
1650,Neoplasia de ovario,1
1651,Claudicación intermitente,I
1652,s. antifosfolípido,2
1653,Hipertiroidismo,E
1654,EXPAnSOR mama izquierda,0
1655,GSRh:A positivo,Z
1656,Transaminitis,R
1657,Síndrome de intestino corto,K
1658,G93.2,G
1659,E16.0,E
1660,histerectomía vaginal,0
1661,DIARREA,R
1662,Útero bicorne parto,O
1663,Obeso,E
1664,Pólipo endometrio,N
1665,Deshidratació rn,P
1666,V12.52,Z
1667,SINTROM,E
1668,retirada cateter DOBLE J IZQ,0
1669,SÍNDROME DE HIPERESTIMULACIÓN OVÁRICA,N
1670,diu,5
1671,gemelar podálica,O
1672,Charcot Marie-Tooth parto,G
1673,Ecografía Tv:,B
1674,fumadora part,O
1675,Eco obst,B
1676,ENGROSAMIENTO ENDOMETRIAL,0
1677,Madden izq,0
1678,Abdominalgia en gestante,O
1679,Coxartrosis bilateral,M
1680,hta,I
1681,TC abd,B
1682,peritonectomia,5
1683,retraso psicomotor,R
1684,anemia microcitica e hipocromica,D
1685,válvula de derivación ventriculoperitoneal,Z
1686,histerectomia abdominal 2,6
1687,Sarcoidosis,M
1688,Flutter,I
1689,Hemodiálisis,Z
1690,OMS bilateral,O
1691,Episotomía,3
1692,0 positivo,Z
1693,SAOS,G
1694,diabética gestacional,O
1695,patada,7
1696,aneurisma cerebral,I
1697,hipercolesterolèmia,E
1698,34,Z
1699,pródromos,R
1700,fibroma,8
1701,neumonia,J
1702,micosis fungoide,B
1703,conizacion,0
1704,transversa,O
1705,Acúfenos,H
1706,coledocolitiasi,5
1707,estenosis Mitral,I
1708,38sg,Z
1709,Convulsions febrils complexes,R
1710,hernioplastia umbilical malla,0
1711,Bricker,V
1712,colapso pulmonar,J
1713,Alergia Yodo.,Z
1714,H70.001,H
1715,Historia de ITUs de repetición,Z
1716,mastectomía radical modificada,8
1717,Hipernatremia,E
1718,historia neoplasia renal,Z
1719,Fumadora 2t,O
1720,SALPINGUECTOMÍA BILATERAL VIA LAPAROSCOPICA,0
1721,Hipotiroidismo part,O
1722,Infección urinaria,N
1723,gastritis,K
1724,liquido teñido,O
1725,37 semanas,Z
1726,hipotroidismo part,O
1727,PTI part,O
1728,24+6 semanas,Z
1729,gastritis parto,O
1730,Síndrome de Apert,Q
1731,pneumònia bacteriana,5
1732,FRACTURA BASICERVICAL FEMUR IZQUIERDO,S
1733,Ecocardiograma,B
1734,Derrame pericardico cronico,I
1735,Listesis L4-L5.,M
1736,Adenopatía cervical,D
1737,bronquiolitis aguda vrs,J
1738,Fumadora part,O
1739,Carcinoma ductal infiltrante mtx,8
1740,GRUP: A +,Z
1741,qT,Z
1742,Meningitis secuela,G
1743,odinofagia,R
1744,rt,3
1745,40+1semanas,Z
1746,Exeresis piel nasal,0
1747,NEFROPATIA DIABETICA,E
1748,ANEXECTOMÍA IZQUIERDA POR LAPAROSCOPIA,0
1749,lavados gástrica,3
1750,trasplante de córnea,Z
1751,septoplastia endoscópica,4
1752,Legrado Aborto,1
1753,Presbiacúsia,H
1754,Desgarro I.,0
1755,hipercolesterolemia part,O
1756,quemadura 3 mano izquierda,0
1757,Fallo inducción,O
1758,Portador DAI,Z
1759,Desgarro 1,0
1760,Hipovitaminosis D,E
1761,Biopsia medula osea,4
1762,HISTERECTOMÍA TOTAL laparoscopica,0
1763,Escolisis,7
1764,mioclonia,G
1765,retenció urinària,R
1766,linfadenectomía paraaórtica,4
1767,Hipotiroidismo getacional,O
1768,Diverticulosis sigmoidea,K
1769,fumadora puerperio,6
1770,Aguas meconiales,O
1771,Desgarro grad 2,0
1772,vaccum,1
1773,NEOPLASIA VESICAL,C
1774,LINFADENECTOMIA AXILAR IZDA,0
1775,leucocitosi part,D
1776,rectorragia,K
1777,ASMA parto,O
1778,trapezectomia izq,0
1779,Hipertension parto,O
1780,PARTO,O
1781,antiobioterapia,3
1782,H. hiato,K
1783,aborto completo,O
1784,Enteritis rádica,M
1785,rao posparto,O
1786,Osteopenia,M
1787,Vacuna,3
1788,Rosácea parto,L
1789,esclerosis múltiple parto,G
1790,miopia parto,H
1791,anèmia 2t,D
1792,Anemia pp,O
1793,hashimoto parto,O
1794,TAC craneofacial,B
1795,Sd nefrótico,N
1796,hiperkalemia,E
1797,Estenosis esofágica,K
1798,HISTEROSCOPIA QUIRURGICA,0
1799,INHIBICIÓN DE LA LACTANCIA,O
1800,LEGRADO OBSTÉTRICO,1
1801,38+4 semanas,Z
1802,TRASTORN DEPRESSIU,F
1803,stent fármacoactivo,Z
1804,parto 41 semanas rn,P
1805,GsrH A positivo,Z
1806,Hallux Valgus pie izquierdo,M
1807,pieloplastia,5
1808,ne sng,3
1809,Alopecia androgénica,L
1810,hipotiroidismo part,O
1811,FIV,Z
1812,Síndrome metabólico parto,O
1813,Insuficiencia Renal Crónica estadio III,N
1814,Alergia Tinte,Z
1815,Desgarro perineal de 1º grado,O
1816,Rx toraco abdominal,B
1817,8 sg,Z
1818,Hipotiroidismo Parto,O
1819,25 sem,Z
1820,enteropatía,K
1821,itu part,O
1822,feto,6
1823,deshidratada,E
1824,27 semnaas,Z
1825,enfermedad de dos vasos,I
1826,ESTERILIZACIÓN,Z
1827,Miopia magna parto,H
1828,G12.0,G
1829,Pirazolonas,Z
1830,SAG positivo,O
1831,Reposición hidroelectrolítica,3
1832,tumorectomia mama d,0
1833,Colitis ulcerosa parto,O
1834,absceso de glándula de bartholino,N
1835,Metrorragia III trimestre,O
1836,Alzheimer,F
1837,HTA gestacional parto,6
1838,Biopsia hepática,0
1839,:A positivo,Z
1840,ligadura tubárica,V
1841,punción folicular,0
1842,les parto,Z
1843,FORAMINOTOMÍA,0
1844,Desgarro: II,O
1845,adrenalina IM,3
1846,historia linfoma,Z
1847,Déficit vit B12 part,O
1848,S. agalactiae,B
1849,absceso vulvar,N
1850,itu posparto,N
1851,Epilepsia focal parto,G
1852,0 Positivo,Z
1853,HTA. ERC icc,I
1854,HTA iRC 5 icc,I
1855,salpinguectomia geu izq lap,6
1856,Hipertensión IRC,I
1857,déficit factor XIII parto,D
1858,"Fallida respiratòria aguda, amb hipòxia",5
1859,déficit de Acil-CoA deshidrogenasa de cadena media,E
1860,asma parto,O
1861,dehiscencia herida,T
1862,CONIZACIÓN CERVICAL CON ASA DE DIATERMIA,0
1863,Megaurèter,1
1864,rcfi radio izquierdo,0
1865,Nasofibrolaringoscopia,3
1866,Una circular,O
1867,Institucionalizada,Z
1868,Adenoflegmo,8
1869,Epicondilitis,M
1870,penicilina,V
1871,Cefalea crónica,R
1872,distócico 2,O
1873,fluidoterapia,3
1874,desproporción pelvico cefálica,O
1875,Miomectomía por laparoscopia,0
1876,Miocardiopatia,I
1877,Antibiótico,3
1878,PTR rodilla derecha,Z
1879,GC,4
1880,CMV,B
1881,MASTECTOMÍA IZQUIERDA,0
1882,ANEXECTOMÍA DERECHA lap,0
1883,Grupo y Rh materno: A +,Z
1884,Abdominalgia inespecifica,R
1885,paladar fes,Q
1886,ideas autolíticas,F
1887,O positivo.,Z
1888,gastrostomía,Z
1889,Alergica a sulfamidas,Z
1890,b positivo,Z
1891,Obesitat morbida,E
1892,Ecografia abdomina,B
1893,fumadora puerperio,6
1894,adhesiolisis ovari,6
1895,Policitemia,D
1896,Vitiligo,6
1897,mioma anteparto,6
1898,RPM,O
1899,CARCINOMA DUCTAL INFILTRANTE DE MAMA DERECHA,C
1900,vaginitis,N
1901,foraminotomía,0
1902,Esteatosis hepatica,K
1903,HEMORROIDE,K
1904,Artrosis,M
1905,Proteus mirabilis,0
1906,anticoagulante,V
1907,sangrado postparto,O
1908,Enol ocasional,F
1909,Disfàgia orofaríngia,R
1910,DGA1,O
1911,Eco doppler eeii,B
1912,fuamdora 2t,O
1913,parto gemelos,6
1914,Litiasis renal izquierda,N
1915,celiaca parto,K
1916,Historia de Carcinoma renal,Z
1917,Acidosis,E
1918,esófago de Barrett,K
